Dependent,,,,,,,,Independent,,,,,,,
Corrected,,,,Naïve,,,,Corrected,,,,Naïve,,,
beta0,beta1,beta2,beta3,beta0,beta1,beta2,beta3,beta0,beta1,beta2,beta3,beta0,beta1,beta2,beta3
-0.259271371,-0.251857009,-0.236442787,-0.257986055,-0.182826613,-0.19939859,-0.20313864,-0.448571512,-0.271084617,-0.249868688,-0.255303856,-0.234090679,-0.276624526,-0.202826703,-0.198643152,-0.2602907
-0.244533912,-0.270263537,-0.243777555,-0.203638375,-0.156953314,-0.208041979,-0.201832458,-0.481280315,-0.230844149,-0.254117672,-0.23279191,-0.231993351,-0.247074216,-0.216069038,-0.198922403,-0.303154851
-0.277405854,-0.268794361,-0.266788752,-0.165386906,-0.194567553,-0.207985981,-0.189799508,-0.440009964,-0.241832934,-0.244721833,-0.256440317,-0.236565469,-0.302462089,-0.201118974,-0.197002343,-0.227229942
-0.242086171,-0.246710584,-0.242383964,-0.282901203,-0.183169573,-0.208937674,-0.209837686,-0.404099974,-0.253039674,-0.256978039,-0.247054027,-0.261185084,-0.262842356,-0.212741355,-0.197318097,-0.244945847
-0.233043934,-0.247591356,-0.253502207,-0.274790088,-0.178865916,-0.202461177,-0.199651472,-0.422220076,-0.242844782,-0.258683488,-0.27689085,-0.288325224,-0.276205243,-0.207497648,-0.196207026,-0.228427442
-0.285537173,-0.241323115,-0.261375186,-0.239752299,-0.157881247,-0.200911256,-0.20394706,-0.423217967,-0.28377699,-0.244882018,-0.280442335,-0.243989611,-0.258496776,-0.206571231,-0.201557272,-0.225937044
-0.258838024,-0.26248752,-0.258879717,-0.225107157,-0.161099528,-0.215919022,-0.193699298,-0.469970164,-0.236446701,-0.259014954,-0.270055456,-0.268161496,-0.243713523,-0.204108422,-0.197027201,-0.299016423
-0.284366476,-0.261060675,-0.250143127,-0.205179757,-0.177417703,-0.205790362,-0.198324186,-0.447072126,-0.273072434,-0.252192165,-0.249811361,-0.228132322,-0.279722431,-0.201904206,-0.211680783,-0.249628264
-0.236047257,-0.236723365,-0.244656986,-0.293531742,-0.150138011,-0.199146634,-0.19923801,-0.454938442,-0.254809773,-0.239158351,-0.237941117,-0.255147787,-0.257733669,-0.221506391,-0.198852875,-0.244521701
-0.223891902,-0.239364835,-0.250037625,-0.294271297,-0.149407929,-0.203903485,-0.204214308,-0.471452889,-0.235775071,-0.257055717,-0.261939541,-0.271414569,-0.245272228,-0.217392589,-0.205654482,-0.287809248
-0.302885175,-0.270278654,-0.253676305,-0.197905803,-0.175093589,-0.205728065,-0.211056417,-0.429893509,-0.278797825,-0.261958756,-0.257049674,-0.246266828,-0.262380452,-0.202959491,-0.194700349,-0.259490851
-0.217652663,-0.253631015,-0.239053157,-0.297029001,-0.133224274,-0.199613753,-0.194420772,-0.457555841,-0.225660175,-0.219114837,-0.25086614,-0.28167242,-0.240294378,-0.211140728,-0.20057657,-0.2485338
-0.290053114,-0.254418063,-0.274082589,-0.187045305,-0.156388899,-0.206766978,-0.18621039,-0.469393237,-0.259943143,-0.252653781,-0.261999747,-0.246052442,-0.269951111,-0.201892964,-0.193148291,-0.252621512
-0.239033226,-0.252089742,-0.23762794,-0.285562834,-0.155438411,-0.196505676,-0.195255641,-0.43852918,-0.249650682,-0.240269139,-0.251154911,-0.265267459,-0.266300032,-0.208886347,-0.221492063,-0.219927124
-0.256351529,-0.271365497,-0.245947575,-0.2279723,-0.157462014,-0.190191436,-0.195936107,-0.474052857,-0.239915524,-0.262037297,-0.25730382,-0.261425351,-0.268075659,-0.20116211,-0.189284035,-0.246811045
-0.253291434,-0.251171051,-0.240328779,-0.254995579,-0.180674618,-0.210893266,-0.212955556,-0.402097142,-0.262497251,-0.250141231,-0.253320212,-0.237384379,-0.258392665,-0.22637071,-0.207300137,-0.248519592
-0.259805173,-0.244059462,-0.258162583,-0.229197624,-0.142226325,-0.198632854,-0.200498148,-0.472710176,-0.257759692,-0.255923057,-0.24745548,-0.234599923,-0.247029248,-0.191861823,-0.199864732,-0.265831749
-0.24912823,-0.243258301,-0.249892011,-0.273070529,-0.158588676,-0.184946738,-0.1944947,-0.473486858,-0.256256023,-0.241501567,-0.250330728,-0.258984756,-0.274136668,-0.201901679,-0.204616773,-0.241979356
-0.267831227,-0.246219701,-0.256524535,-0.253358392,-0.175152872,-0.215552411,-0.20304652,-0.43838141,-0.264781253,-0.244514721,-0.256155049,-0.260069959,-0.25327909,-0.184563641,-0.20217908,-0.268668621
-0.20708729,-0.22453688,-0.230420063,-0.338699582,-0.166479449,-0.189968554,-0.201916025,-0.455172243,-0.252364031,-0.24083893,-0.256280701,-0.250411483,-0.271670799,-0.188125727,-0.194573771,-0.23957226
-0.234489554,-0.24338697,-0.257386937,-0.272550839,-0.206324792,-0.217719341,-0.203797475,-0.397918762,-0.234246801,-0.23541073,-0.246376451,-0.273004108,-0.281256092,-0.194385882,-0.200413148,-0.244211219
-0.310280882,-0.269016411,-0.242084193,-0.1929523,-0.164825799,-0.192372075,-0.194973255,-0.447009564,-0.270579436,-0.244341363,-0.244997092,-0.235546351,-0.278906282,-0.192152327,-0.195999108,-0.224973843
-0.242837784,-0.241113441,-0.245356616,-0.273775565,-0.156329133,-0.197079587,-0.192416409,-0.497192707,-0.257073128,-0.252812158,-0.263150932,-0.245989576,-0.272015002,-0.204735663,-0.19790899,-0.261707715
-0.27948944,-0.238510759,-0.259247923,-0.222416787,-0.153248308,-0.196621858,-0.199672367,-0.464496202,-0.282866555,-0.255949504,-0.253734808,-0.216969722,-0.253495411,-0.195376275,-0.196379474,-0.260208501
-0.217215699,-0.252666774,-0.245164312,-0.276372336,-0.163033105,-0.20044815,-0.203037132,-0.457827405,-0.219966477,-0.231360093,-0.255793718,-0.271118348,-0.250529874,-0.204498533,-0.1930889,-0.269035175
-0.251468396,-0.236115197,-0.25370571,-0.256514972,-0.157490685,-0.190381407,-0.209485156,-0.437268264,-0.262961235,-0.243079719,-0.232070637,-0.236015778,-0.260371076,-0.19603087,-0.204871922,-0.236211085
-0.247947966,-0.25959161,-0.237167163,-0.254356963,-0.151219221,-0.192052217,-0.207140429,-0.443387881,-0.251187167,-0.259406072,-0.257601339,-0.247810148,-0.249303939,-0.200183501,-0.202027961,-0.24781254
-0.232870042,-0.240503305,-0.242726241,-0.29607796,-0.125554557,-0.184612574,-0.189751327,-0.508060807,-0.251047685,-0.24564761,-0.257510912,-0.261566479,-0.246230908,-0.194513578,-0.203483629,-0.261737569
-0.257070106,-0.251151713,-0.241823403,-0.258725377,-0.18841153,-0.203284976,-0.210831665,-0.408492714,-0.264329793,-0.256448891,-0.255790853,-0.243768517,-0.272094922,-0.20490502,-0.206369506,-0.231627448
-0.227330931,-0.230507894,-0.240532901,-0.299521833,-0.156813091,-0.213337223,-0.203739215,-0.435838046,-0.256261998,-0.237046601,-0.264423067,-0.242912154,-0.232935169,-0.210099873,-0.189797464,-0.27458468
-0.266492025,-0.270915396,-0.238564945,-0.209715742,-0.16415428,-0.21632551,-0.184472321,-0.479596782,-0.256141658,-0.247857469,-0.251831334,-0.231695026,-0.258126213,-0.182501938,-0.210934508,-0.288338687
-0.208375667,-0.24692142,-0.223588884,-0.314377636,-0.155904535,-0.200684429,-0.184122244,-0.451290106,-0.225282211,-0.255589968,-0.226753525,-0.278953833,-0.275858871,-0.202156031,-0.206578878,-0.2177538
-0.255786136,-0.252095836,-0.225363129,-0.285264375,-0.180492176,-0.198484645,-0.204951324,-0.438025101,-0.279915962,-0.260975055,-0.228054599,-0.236328162,-0.274770833,-0.200465652,-0.216644178,-0.248337079
-0.269150271,-0.263937403,-0.236940086,-0.220950135,-0.186305273,-0.204876528,-0.212613962,-0.386455524,-0.269828519,-0.25572033,-0.247912274,-0.221304844,-0.271238713,-0.191375953,-0.200887242,-0.217110046
-0.263255114,-0.260943618,-0.234094211,-0.225692937,-0.174717679,-0.205407563,-0.202656027,-0.431838053,-0.268601494,-0.244755427,-0.231219573,-0.215967173,-0.265741391,-0.204404922,-0.212872213,-0.250814854
-0.241867802,-0.242000448,-0.243781265,-0.275159973,-0.169173528,-0.201618285,-0.192682919,-0.459422016,-0.257029207,-0.261096292,-0.251349525,-0.246055466,-0.274443703,-0.208982633,-0.184673901,-0.250666441
-0.259052016,-0.248154584,-0.255829309,-0.229617132,-0.155690008,-0.206551513,-0.197762881,-0.444989177,-0.253448951,-0.228015411,-0.238127332,-0.239164421,-0.250667762,-0.20834217,-0.199561642,-0.252018071
-0.229404695,-0.251312142,-0.242876914,-0.247624972,-0.133325059,-0.191695448,-0.186794773,-0.518317394,-0.234980276,-0.269789093,-0.248684881,-0.23578292,-0.250204575,-0.194515837,-0.217902028,-0.280797528
-0.252356525,-0.242743032,-0.262759466,-0.239874767,-0.205054482,-0.212315742,-0.197753045,-0.415446382,-0.244589513,-0.241365053,-0.239361273,-0.255412087,-0.290612149,-0.192357195,-0.190430428,-0.238265558
-0.241841521,-0.256563435,-0.240677831,-0.246645149,-0.145953615,-0.182028271,-0.205902652,-0.468257257,-0.244029463,-0.245392356,-0.244520557,-0.241110052,-0.262447073,-0.201046172,-0.207034175,-0.242429417
-0.224705249,-0.23690371,-0.252292461,-0.290732971,-0.171320243,-0.20248748,-0.190045711,-0.452194554,-0.235761691,-0.25114521,-0.252973204,-0.268631953,-0.277450577,-0.197794157,-0.210522937,-0.245135732
-0.216951019,-0.231483352,-0.265679568,-0.290060963,-0.171092021,-0.212207052,-0.197649997,-0.429981741,-0.219684241,-0.235394844,-0.254189758,-0.28455671,-0.260244396,-0.193126526,-0.210701714,-0.24758159
-0.261518967,-0.253463199,-0.244744541,-0.242069573,-0.177211752,-0.204392054,-0.202975636,-0.425495279,-0.264366264,-0.271906909,-0.250026403,-0.237023833,-0.269457923,-0.201361362,-0.205890706,-0.241079653
-0.241065734,-0.257713318,-0.252601944,-0.226012503,-0.176457842,-0.198308974,-0.196088849,-0.447142708,-0.230920699,-0.255448485,-0.252936256,-0.246504553,-0.281393803,-0.204064691,-0.199626442,-0.242540722
-0.224875977,-0.253995433,-0.260699068,-0.255343313,-0.158649422,-0.199476966,-0.193519404,-0.489700204,-0.210252263,-0.247421914,-0.250361358,-0.284237707,-0.268607571,-0.206478085,-0.189028169,-0.275791911
-0.246821154,-0.246168884,-0.253333745,-0.278336022,-0.187333216,-0.199246413,-0.209682191,-0.377239606,-0.247322994,-0.255351761,-0.246275728,-0.278188353,-0.281451224,-0.203555947,-0.20027467,-0.191006758
-0.266403175,-0.253421506,-0.259928203,-0.223207037,-0.155168596,-0.190432674,-0.200782493,-0.470142759,-0.25431769,-0.267201574,-0.255215381,-0.246909619,-0.266767996,-0.194562372,-0.228326614,-0.245786165
-0.264991714,-0.262805563,-0.251892178,-0.233406786,-0.181916354,-0.201956606,-0.201476092,-0.448088295,-0.248881173,-0.226168096,-0.263594492,-0.264647404,-0.27642425,-0.206467303,-0.194466273,-0.262289294
-0.216734315,-0.250631252,-0.230556921,-0.284728913,-0.196985437,-0.205828132,-0.216347934,-0.385828811,-0.237571105,-0.223073077,-0.253489866,-0.246590492,-0.274538694,-0.186497201,-0.20986089,-0.227789467
-0.248043664,-0.254207586,-0.254742376,-0.26385927,-0.154109731,-0.201394506,-0.197346435,-0.431121707,-0.238985253,-0.233207519,-0.245023936,-0.28290359,-0.255733482,-0.20454541,-0.202941272,-0.23030589
-0.257692942,-0.259432008,-0.225826183,-0.238618248,-0.160787843,-0.191190012,-0.197293413,-0.442260187,-0.260520387,-0.275211922,-0.239047726,-0.219744363,-0.278055602,-0.20631825,-0.206802277,-0.216098453
-0.261955192,-0.25527896,-0.249573917,-0.258898948,-0.138791385,-0.197443784,-0.182035712,-0.504712101,-0.257775007,-0.240038237,-0.256010558,-0.268074436,-0.266411321,-0.191600707,-0.185904314,-0.253950498
-0.218768814,-0.237576902,-0.23269292,-0.313924825,-0.175445805,-0.196430948,-0.199300755,-0.408175117,-0.249580265,-0.23523799,-0.23515739,-0.252476764,-0.275141212,-0.193488884,-0.192949887,-0.207841046
-0.249023514,-0.245880632,-0.24690494,-0.237085753,-0.162227328,-0.195123377,-0.196482282,-0.466267307,-0.256432531,-0.238995788,-0.244785767,-0.221650068,-0.266924562,-0.204265416,-0.198899347,-0.25505558
-0.266593486,-0.247730503,-0.265792544,-0.215029296,-0.13520246,-0.18399811,-0.186923529,-0.5138623,-0.253130027,-0.260289031,-0.253322947,-0.241843878,-0.256935201,-0.209002894,-0.19857469,-0.265929652
-0.24277397,-0.245707247,-0.250493179,-0.298316401,-0.211908944,-0.213174026,-0.201465499,-0.409948865,-0.246377101,-0.26411932,-0.24755074,-0.291871949,-0.297523041,-0.205514461,-0.1960182,-0.235256826
-0.250981987,-0.231234309,-0.250305476,-0.249650454,-0.171831846,-0.1981301,-0.183297827,-0.457523027,-0.269916467,-0.263155306,-0.245068787,-0.212938848,-0.287060626,-0.214420451,-0.180380421,-0.223363056
-0.203314454,-0.225162205,-0.238977545,-0.328919064,-0.162152044,-0.189270391,-0.212382596,-0.452337796,-0.237989241,-0.225762886,-0.261572935,-0.25902417,-0.255147276,-0.188050182,-0.199768398,-0.26137824
-0.272695706,-0.249110864,-0.24830102,-0.216407781,-0.178575211,-0.189400501,-0.216075866,-0.430344083,-0.275441008,-0.254517291,-0.252291287,-0.210474931,-0.279778718,-0.203801659,-0.210312272,-0.237380562
-0.253560804,-0.242555076,-0.230134187,-0.322199955,-0.183622207,-0.194926613,-0.194672647,-0.450202665,-0.280478617,-0.244484485,-0.247482761,-0.268293792,-0.291629506,-0.203837751,-0.210685637,-0.23785288
-0.210415439,-0.226553498,-0.235806965,-0.32199174,-0.124920073,-0.204056277,-0.198505949,-0.489219428,-0.247346172,-0.236049412,-0.227101821,-0.245754524,-0.228518872,-0.210713015,-0.204588483,-0.292730131
-0.211078171,-0.245002562,-0.251990635,-0.326796676,-0.132694791,-0.19407618,-0.197883551,-0.478858372,-0.214645222,-0.239576145,-0.2399261,-0.319824385,-0.239900662,-0.207257327,-0.196061388,-0.266607606
-0.240674802,-0.256327483,-0.245125771,-0.272273241,-0.191092869,-0.195215653,-0.209447514,-0.435821946,-0.239614015,-0.248281442,-0.265862763,-0.274489628,-0.289683552,-0.195211176,-0.203335195,-0.242155663
-0.270626466,-0.272203332,-0.25378117,-0.180693245,-0.174986188,-0.184419149,-0.208268317,-0.439173415,-0.244781761,-0.270892425,-0.251683966,-0.233459171,-0.285111172,-0.190936949,-0.205790815,-0.226994888
-0.252358965,-0.237258127,-0.240379243,-0.250942639,-0.184647985,-0.209081036,-0.214115221,-0.435459244,-0.275366385,-0.235925502,-0.24295635,-0.205343403,-0.261116682,-0.214812169,-0.186518562,-0.272648206
-0.255903698,-0.246664307,-0.240954021,-0.276180702,-0.185500943,-0.184722717,-0.20831275,-0.447555177,-0.267609632,-0.262589166,-0.242887052,-0.252615416,-0.293493425,-0.197797083,-0.197762143,-0.2377937
-0.275047448,-0.261047857,-0.258480274,-0.19517736,-0.11669525,-0.208558172,-0.178893011,-0.511563536,-0.255728816,-0.262815239,-0.249959606,-0.234056064,-0.231693657,-0.195064574,-0.187585045,-0.282529425
-0.271607713,-0.259202836,-0.254353165,-0.1938034,-0.168669148,-0.19897809,-0.201548793,-0.448228022,-0.258135459,-0.248124816,-0.244396626,-0.22083323,-0.267987927,-0.183883897,-0.189401948,-0.245227557
-0.267916754,-0.25689182,-0.26655472,-0.188051753,-0.154684612,-0.175679195,-0.203649293,-0.488178325,-0.24455223,-0.249743823,-0.270935571,-0.23432943,-0.279620598,-0.193796004,-0.199286899,-0.245715091
-0.212999326,-0.234241073,-0.237822041,-0.298480031,-0.160990052,-0.185889429,-0.205505887,-0.443411594,-0.240277508,-0.219664423,-0.252221035,-0.246358011,-0.263501976,-0.195365974,-0.180611737,-0.228260376
-0.252531859,-0.254804117,-0.245086997,-0.21677584,-0.162087571,-0.200771586,-0.194932984,-0.467645336,-0.252953715,-0.249781738,-0.257312612,-0.216918989,-0.26533563,-0.208761595,-0.203441261,-0.26066726
-0.247809938,-0.267615942,-0.243023413,-0.241903806,-0.132878034,-0.194979089,-0.19174471,-0.528898919,-0.236739289,-0.275694855,-0.23157965,-0.262660458,-0.246171155,-0.201335916,-0.182494001,-0.308707169
-0.301125568,-0.249386028,-0.275718056,-0.190693344,-0.178755252,-0.205248395,-0.200138881,-0.427413551,-0.277702133,-0.257978679,-0.279018505,-0.238355149,-0.269433766,-0.195723889,-0.183056959,-0.240914561
-0.252634131,-0.267554736,-0.246567779,-0.220607829,-0.189453389,-0.203560155,-0.204676009,-0.39436797,-0.239220664,-0.259102476,-0.262680426,-0.24921161,-0.285842799,-0.203403737,-0.21200808,-0.200530654
-0.22881627,-0.25096537,-0.249630427,-0.260448468,-0.198571831,-0.199478514,-0.231665082,-0.396961001,-0.22677645,-0.254013705,-0.268240127,-0.262681266,-0.266206049,-0.190739308,-0.206831319,-0.255187241
-0.249477546,-0.257486254,-0.254603754,-0.245223737,-0.17438036,-0.207589294,-0.210926317,-0.432502826,-0.237838921,-0.253694985,-0.264277519,-0.269496281,-0.256197392,-0.210211311,-0.214683287,-0.267128424
-0.277222119,-0.267323723,-0.254824914,-0.218465805,-0.173012915,-0.190951847,-0.195894837,-0.452907749,-0.255437542,-0.240192466,-0.254129942,-0.261526265,-0.287705246,-0.183170443,-0.198537609,-0.22321213
-0.251310652,-0.236419973,-0.257487279,-0.239611376,-0.174974692,-0.205505202,-0.193698011,-0.440395174,-0.257535427,-0.251350006,-0.240242512,-0.227964231,-0.273836968,-0.195622713,-0.213747503,-0.242438274
-0.285603588,-0.271515859,-0.2646636,-0.174647094,-0.171234252,-0.211874249,-0.190972773,-0.431876034,-0.25164996,-0.263359153,-0.267110846,-0.244768355,-0.26525404,-0.196367011,-0.207177673,-0.242961338
-0.242161034,-0.251101016,-0.265391564,-0.241947502,-0.196826335,-0.193199906,-0.204182769,-0.429477403,-0.22570983,-0.250138823,-0.236837974,-0.274353834,-0.298330188,-0.200667335,-0.215810572,-0.22719296
-0.224567354,-0.241069026,-0.24942369,-0.319937266,-0.141421597,-0.179874054,-0.197848626,-0.48609659,-0.233493554,-0.254810706,-0.24939849,-0.302722264,-0.260844071,-0.205586375,-0.193134001,-0.23778505
-0.266393736,-0.255933848,-0.251073359,-0.226490994,-0.150378406,-0.196237695,-0.205358903,-0.445411593,-0.259072626,-0.244672165,-0.244991288,-0.240432655,-0.246953858,-0.204961417,-0.185754079,-0.249122346
-0.233136183,-0.251842901,-0.258180957,-0.235463234,-0.18957397,-0.20399125,-0.208861144,-0.398477373,-0.226092378,-0.237909526,-0.241647051,-0.25256537,-0.275980142,-0.214817044,-0.208213698,-0.228772282
-0.223455438,-0.260604963,-0.244777855,-0.264686677,-0.16072441,-0.204636153,-0.191286779,-0.47075496,-0.217670071,-0.252248389,-0.247935031,-0.275950253,-0.265025007,-0.210079182,-0.193748482,-0.258685783
-0.244366255,-0.23777955,-0.26089162,-0.249023032,-0.162413318,-0.193878637,-0.200424116,-0.439758005,-0.245020546,-0.248127307,-0.276300579,-0.247941722,-0.267363021,-0.185196923,-0.194555645,-0.233721698
-0.248974867,-0.257695334,-0.252982601,-0.233036173,-0.177668237,-0.202602758,-0.196141419,-0.443655527,-0.237210116,-0.273381097,-0.245925844,-0.255565107,-0.278647635,-0.203750784,-0.2048486,-0.242994026
-0.299368793,-0.256439863,-0.273009148,-0.180578694,-0.145567521,-0.200149153,-0.187999829,-0.491909617,-0.269038353,-0.244856485,-0.257535835,-0.239947721,-0.255412177,-0.182528285,-0.184212008,-0.270546225
-0.245589796,-0.260838279,-0.250863078,-0.239910139,-0.173982156,-0.203079575,-0.201006904,-0.418637447,-0.234522893,-0.24437761,-0.242637332,-0.262879466,-0.273929369,-0.201222614,-0.203235156,-0.219527615
-0.244509802,-0.233107387,-0.238268353,-0.284084909,-0.152843501,-0.192767997,-0.20035911,-0.474686269,-0.273591754,-0.236688943,-0.252788611,-0.226436672,-0.25815833,-0.189234646,-0.211407647,-0.26735396
-0.291951636,-0.255491719,-0.268257073,-0.187512903,-0.1693115,-0.204599276,-0.211307822,-0.456303862,-0.269507075,-0.239487755,-0.26184664,-0.234401607,-0.252603397,-0.197760584,-0.209065961,-0.284268763
-0.213649945,-0.238958422,-0.230847776,-0.323451582,-0.15282103,-0.191944331,-0.197336706,-0.453253877,-0.244963338,-0.250855572,-0.238077866,-0.26216308,-0.26887637,-0.209492962,-0.200803886,-0.2292843
-0.294631413,-0.234331217,-0.279617962,-0.178664066,-0.174538001,-0.197707558,-0.206496167,-0.423420748,-0.281960524,-0.23584049,-0.267745488,-0.205185112,-0.276118774,-0.199610552,-0.203046402,-0.229007224
-0.288765354,-0.250324827,-0.254170122,-0.186720188,-0.16671976,-0.209977651,-0.188658495,-0.471211817,-0.283416901,-0.256475087,-0.260135471,-0.195867974,-0.264107107,-0.195092253,-0.190446697,-0.275958778
-0.24930167,-0.257198073,-0.260158325,-0.232956497,-0.147732721,-0.197324364,-0.201383791,-0.453491761,-0.233633209,-0.243129069,-0.269695465,-0.265473429,-0.250375331,-0.200274634,-0.179813901,-0.243957523
-0.210992914,-0.254497957,-0.241117535,-0.297075529,-0.145794254,-0.190042062,-0.204073273,-0.455937837,-0.215967506,-0.257021347,-0.238865977,-0.286462811,-0.252006945,-0.220045368,-0.1996301,-0.24981532
-0.252323075,-0.25608885,-0.248625539,-0.229387596,-0.172486254,-0.217496211,-0.189943,-0.4534551,-0.24771899,-0.237417132,-0.247377122,-0.239265313,-0.259546109,-0.200465011,-0.18601079,-0.269579126
-0.25818962,-0.263813423,-0.24369101,-0.235279649,-0.163821832,-0.205162258,-0.199033014,-0.433647586,-0.249941806,-0.243877059,-0.233056156,-0.251732025,-0.257924669,-0.209542593,-0.194885622,-0.244433525
-0.277002424,-0.262224381,-0.241497543,-0.201060045,-0.15514205,-0.200203698,-0.19912826,-0.477184267,-0.273310472,-0.245031864,-0.241527453,-0.208532789,-0.25369142,-0.19829411,-0.187210903,-0.279998435
-0.241770412,-0.240918688,-0.248571383,-0.25947007,-0.167565115,-0.200382824,-0.202244269,-0.458353502,-0.252692986,-0.250413452,-0.243136892,-0.23781278,-0.267192345,-0.206421569,-0.193168066,-0.259008303
-0.222039822,-0.265001855,-0.234624987,-0.258591352,-0.133319422,-0.201798694,-0.184977298,-0.500060104,-0.221986827,-0.238768256,-0.26280348,-0.256622766,-0.248143256,-0.208431171,-0.184038337,-0.27630211
-0.237764035,-0.267705189,-0.24631452,-0.245436196,-0.1489419,-0.198169916,-0.214062897,-0.443344236,-0.224452443,-0.260432532,-0.251799636,-0.272729439,-0.237598566,-0.213000294,-0.204586011,-0.264068019
-0.249431234,-0.23600209,-0.253091123,-0.277703115,-0.181399303,-0.211642622,-0.188318955,-0.430136576,-0.260368547,-0.251229026,-0.263339973,-0.255318493,-0.286046534,-0.206062927,-0.194013221,-0.223274954
-0.241466077,-0.236255787,-0.241918033,-0.305641183,-0.179464267,-0.199855876,-0.190753807,-0.450200343,-0.263749972,-0.255201871,-0.255182149,-0.263182716,-0.285321817,-0.200804615,-0.206468295,-0.235041558
-0.258382232,-0.250324218,-0.245154346,-0.266992826,-0.176967116,-0.204756669,-0.193827388,-0.465689054,-0.262032625,-0.223807533,-0.257719224,-0.258373934,-0.278058957,-0.201128678,-0.20688772,-0.257065548
-0.244084722,-0.247901644,-0.239933508,-0.280435335,-0.152678859,-0.204122306,-0.187547402,-0.47135778,-0.255831246,-0.265313949,-0.234880876,-0.256203215,-0.257924384,-0.201979657,-0.193514138,-0.256569075
-0.274174725,-0.278094578,-0.25669728,-0.165927958,-0.150464984,-0.201238758,-0.183390985,-0.471159729,-0.241338794,-0.267224439,-0.26723548,-0.235025951,-0.265445097,-0.196532702,-0.21169728,-0.253455263
-0.231146918,-0.246285788,-0.239202748,-0.291781729,-0.165226651,-0.199769715,-0.199959282,-0.452618555,-0.246577051,-0.238991601,-0.266108334,-0.266963944,-0.264648501,-0.193687229,-0.197652152,-0.256282863
-0.248479312,-0.260560806,-0.235813535,-0.273237913,-0.150768921,-0.199859202,-0.20419671,-0.455816379,-0.252696983,-0.238976855,-0.257579172,-0.268933593,-0.251724198,-0.20340624,-0.202258867,-0.255866267
-0.256136108,-0.263645652,-0.244469723,-0.224792496,-0.144708112,-0.190272965,-0.198962806,-0.446579163,-0.249746733,-0.249354917,-0.273531263,-0.238263254,-0.25199592,-0.195862666,-0.195250944,-0.237252264
-0.246335087,-0.264512429,-0.256106118,-0.206737826,-0.163802662,-0.195359108,-0.199727971,-0.478108291,-0.225238115,-0.239852367,-0.250685808,-0.246485965,-0.269422679,-0.196534447,-0.211825509,-0.270180784
-0.272820291,-0.256924588,-0.255998871,-0.225902767,-0.147237394,-0.200633763,-0.204191579,-0.461617342,-0.259833286,-0.235027098,-0.257723373,-0.251484536,-0.240689663,-0.199503039,-0.201644479,-0.276901968
