Dependent,,,,,,,,Independent,,,,,,,
Corrected,,,,Naive,,,,Corrected,,,,Naive,,,
beta0,beta1,beta2,beta3,beta0,beta1,beta2,beta3,beta0,beta1,beta2,beta3,beta0,beta1,beta2,beta3
-0.28811474,-0.275504049,-0.27726544,-0.173315605,-0.091981476,-0.17558759,-0.200121688,-0.436976586,-0.221836064,-0.256561895,-0.267557751,-0.274752337,-0.205158901,-0.193732688,-0.190164937,-0.216868024
-0.241203908,-0.215754171,-0.242584389,-0.369174127,-0.140767735,-0.181381533,-0.190533063,-0.384477514,-0.298675862,-0.249467388,-0.258142117,-0.269395503,-0.278999094,-0.166181802,-0.206486995,-0.144852225
-0.147944876,-0.210351053,-0.205358551,-0.462450569,-0.060363489,-0.175510678,-0.196163544,-0.49445268,-0.222519326,-0.228233175,-0.223067291,-0.29888323,-0.176872118,-0.19241108,-0.208965667,-0.284084946
-0.252897143,-0.268448493,-0.232142909,-0.203075784,-0.081458971,-0.18229679,-0.180750055,-0.578059291,-0.255914216,-0.258711732,-0.239919774,-0.216052127,-0.21192639,-0.169482929,-0.204725379,-0.303195193
-0.283142298,-0.257479853,-0.258087748,-0.24419165,-0.118963749,-0.191622471,-0.211660469,-0.449726527,-0.2684791,-0.25644674,-0.217561306,-0.252519158,-0.208166754,-0.186220377,-0.213121202,-0.271325043
-0.166426304,-0.231487512,-0.216155442,-0.351491451,-0.167694173,-0.194282449,-0.200152688,-0.496690912,-0.195090352,-0.258212562,-0.226471975,-0.265460875,-0.280043039,-0.192938133,-0.212916942,-0.278103328
-0.200092294,-0.221179505,-0.226408613,-0.295925385,-0.156663626,-0.177749462,-0.212416992,-0.333757143,-0.265951183,-0.247734163,-0.22524713,-0.207821171,-0.262815781,-0.181739774,-0.200309746,-0.144538764
-0.232037264,-0.243034508,-0.268277009,-0.229427625,-0.113355736,-0.181722804,-0.209365622,-0.460565951,-0.210444861,-0.267410526,-0.2607371,-0.281038583,-0.217958957,-0.173165193,-0.199234176,-0.254797194
-0.304176998,-0.287448117,-0.27307237,-0.086778448,-0.149851642,-0.200397745,-0.194524254,-0.44344797,-0.243115248,-0.249978662,-0.282671645,-0.216761351,-0.263350784,-0.173592687,-0.222277531,-0.240823939
-0.24557042,-0.240089417,-0.23021702,-0.212732972,-0.164652086,-0.207990039,-0.176088534,-0.393304016,-0.27558351,-0.224697854,-0.204047381,-0.173626585,-0.293909621,-0.180220978,-0.200175138,-0.162767405
-0.233090338,-0.233709862,-0.279635809,-0.2128996,-0.143399687,-0.197484627,-0.205691396,-0.429127378,-0.19925394,-0.248268256,-0.243425351,-0.260035432,-0.237289988,-0.200975239,-0.210559655,-0.252011406
-0.333395279,-0.2723824,-0.270361523,-0.126830115,-0.199731323,-0.19719768,-0.219168361,-0.425479703,-0.300415384,-0.332311835,-0.254026064,-0.235691564,-0.283583773,-0.179913274,-0.183585148,-0.255987608
-0.215418608,-0.229810996,-0.250016035,-0.256454346,-0.157503022,-0.188584977,-0.223867366,-0.3888562,-0.231917638,-0.264055928,-0.242112203,-0.23960481,-0.258266907,-0.203657818,-0.213898765,-0.21544791
-0.251259909,-0.249489049,-0.255654941,-0.212415587,-0.130702522,-0.221107902,-0.187255497,-0.529200927,-0.246770498,-0.243849887,-0.244553383,-0.223445044,-0.208183849,-0.186788099,-0.164039148,-0.33806784
-0.217269151,-0.214222325,-0.243966091,-0.330971223,-0.189655727,-0.231304004,-0.216460197,-0.38244466,-0.256613688,-0.228349394,-0.23656194,-0.255868902,-0.234198439,-0.22102861,-0.226824808,-0.280372113
-0.293146729,-0.239590287,-0.296571834,-0.198056263,-0.099737242,-0.192190788,-0.177027627,-0.51028224,-0.255891065,-0.250732986,-0.261541266,-0.255757401,-0.221031501,-0.146205371,-0.171391902,-0.262191418
-0.249556463,-0.276728094,-0.234621898,-0.283026163,-0.189155564,-0.210887518,-0.207299568,-0.416928152,-0.231111783,-0.261072193,-0.228559154,-0.298916909,-0.283105188,-0.223170259,-0.198992506,-0.228276532
-0.28302785,-0.265219382,-0.260176272,-0.194784435,-0.157798078,-0.236792444,-0.220642729,-0.381720429,-0.255110292,-0.266706367,-0.239447325,-0.209649637,-0.172672521,-0.193884766,-0.195746315,-0.32622235
-0.149898518,-0.242754478,-0.218973476,-0.333033599,-0.081447172,-0.162898521,-0.170889873,-0.530824178,-0.176350209,-0.243183797,-0.219383312,-0.281811635,-0.248956225,-0.226060547,-0.204673928,-0.224337141
-0.27737756,-0.254068492,-0.263665943,-0.234740042,-0.193038887,-0.22766281,-0.21331909,-0.396954886,-0.251044375,-0.237670978,-0.219960164,-0.261567192,-0.244143228,-0.226551702,-0.203540929,-0.270905995
-0.322470556,-0.285688283,-0.254676998,-0.13238443,-0.098195233,-0.171807135,-0.207956697,-0.468892819,-0.278888876,-0.254695582,-0.27077473,-0.218179077,-0.206605431,-0.197771515,-0.2010166,-0.257438687
-0.156317794,-0.205662834,-0.243694116,-0.353854354,-0.154013789,-0.214308002,-0.208166944,-0.426127174,-0.216099492,-0.267841409,-0.268192217,-0.278549764,-0.221451001,-0.220680848,-0.190820696,-0.288506485
-0.220091244,-0.225303914,-0.257701755,-0.275054998,-0.127045682,-0.193816333,-0.210571868,-0.401028846,-0.239199145,-0.244503462,-0.239426617,-0.240030302,-0.213632851,-0.187675578,-0.199442325,-0.24797571
-0.213185236,-0.270661317,-0.245282405,-0.274391134,-0.170760997,-0.208355225,-0.198031148,-0.387627719,-0.17871752,-0.231118891,-0.238749273,-0.311297998,-0.277623888,-0.206841921,-0.222398417,-0.202411904
-0.2541525,-0.233349474,-0.245210096,-0.328813346,-0.156118479,-0.190365286,-0.205299623,-0.423399519,-0.283222279,-0.276009123,-0.25751381,-0.272206413,-0.244868893,-0.191968392,-0.203995124,-0.231077788
-0.236891856,-0.257007682,-0.264328746,-0.235345854,-0.16313232,-0.233504418,-0.177950878,-0.503325483,-0.211916721,-0.276258749,-0.296942857,-0.302126384,-0.254435848,-0.203959489,-0.186231122,-0.305427308
-0.239464974,-0.241558598,-0.261362273,-0.318635813,-0.188396538,-0.202943045,-0.191110299,-0.484326221,-0.223981213,-0.248920789,-0.215881469,-0.290150314,-0.300553458,-0.218826126,-0.197060176,-0.252741477
-0.238432882,-0.256712917,-0.225281704,-0.219352203,-0.254297627,-0.240885927,-0.227724432,-0.284237311,-0.257288513,-0.228342845,-0.228184732,-0.220417853,-0.278548653,-0.217107945,-0.212393174,-0.213679848
-0.213483457,-0.226034759,-0.264682686,-0.229185936,-0.080555264,-0.172471753,-0.193471298,-0.587815409,-0.210278424,-0.230892759,-0.213190936,-0.233775632,-0.205902835,-0.200210077,-0.172791217,-0.299433573
-0.344028998,-0.304664683,-0.272976235,-0.098447837,-0.174775029,-0.170657617,-0.198537304,-0.441627766,-0.243716675,-0.241137884,-0.203763247,-0.254719886,-0.317105888,-0.174036177,-0.213063027,-0.165287434
-0.237986319,-0.202797762,-0.280609819,-0.337446224,-0.126252237,-0.168500858,-0.221818042,-0.341796752,-0.255114662,-0.248880078,-0.234978749,-0.278157342,-0.243679358,-0.238181323,-0.178102576,-0.158402943
-0.253412381,-0.244908599,-0.233804098,-0.249782593,-0.167024037,-0.195403767,-0.236389332,-0.420727383,-0.295895281,-0.26328597,-0.258803008,-0.184921959,-0.21522444,-0.189313679,-0.192764386,-0.313738245
-0.214991998,-0.21673612,-0.290743541,-0.236765405,-0.114723389,-0.195477959,-0.185853218,-0.459944411,-0.193293468,-0.230211168,-0.275829345,-0.2975884,-0.221390745,-0.208187265,-0.15136002,-0.245997437
-0.263305668,-0.235606358,-0.283557021,-0.285382114,-0.098553839,-0.195025078,-0.170898357,-0.616067954,-0.241353405,-0.232512186,-0.296592455,-0.330142004,-0.229632564,-0.200208781,-0.21136048,-0.339165573
-0.243255297,-0.225297775,-0.263538413,-0.313658977,-0.146571481,-0.182294988,-0.207837144,-0.386621072,-0.254529645,-0.263835784,-0.243530394,-0.274229023,-0.245732679,-0.186510053,-0.184087435,-0.208587426
-0.302255002,-0.282662369,-0.275705587,-0.187765329,-0.0917943,-0.165119741,-0.202943046,-0.50620622,-0.230931006,-0.244963795,-0.252020219,-0.289122689,-0.217656122,-0.155870708,-0.212216707,-0.262946052
-0.277978948,-0.249129019,-0.236473516,-0.210595354,-0.170098709,-0.196505179,-0.199299085,-0.426691588,-0.311337485,-0.291337414,-0.256756823,-0.181657448,-0.285330239,-0.199777052,-0.221071238,-0.209734742
-0.286249639,-0.247303313,-0.251174832,-0.271352309,-0.202288887,-0.209139462,-0.232910868,-0.320971877,-0.299413053,-0.216144327,-0.284132558,-0.256357334,-0.241919677,-0.196569428,-0.164689151,-0.218894016
-0.294693973,-0.284082132,-0.228292172,-0.172610326,-0.059728667,-0.166179944,-0.189175092,-0.465455526,-0.294268727,-0.25374413,-0.2529641,-0.180492188,-0.191893106,-0.19712514,-0.205291815,-0.221171655
-0.309665002,-0.247687325,-0.299796625,-0.238254836,-0.201574032,-0.235462269,-0.207583895,-0.332096789,-0.260453327,-0.276616483,-0.24989383,-0.305476461,-0.263717269,-0.210477425,-0.20292634,-0.223154853
-0.342141345,-0.295168219,-0.23703481,-0.12128835,-0.126535371,-0.189414891,-0.218039656,-0.399505341,-0.319888142,-0.275181681,-0.246367055,-0.187219535,-0.197399305,-0.197077036,-0.153084142,-0.256487013
-0.322166905,-0.319045701,-0.237902152,-0.169244462,-0.111784263,-0.157167162,-0.208873646,-0.545556841,-0.281423243,-0.288945021,-0.268367857,-0.250611653,-0.241165633,-0.187780998,-0.180348806,-0.265471124
-0.247327252,-0.234526795,-0.269482783,-0.248171246,-0.11687356,-0.181794004,-0.197711681,-0.52276292,-0.230342279,-0.218130074,-0.234986894,-0.24332056,-0.229707926,-0.197644375,-0.204040739,-0.288585369
-0.289328022,-0.261519798,-0.23900927,-0.276097589,-0.102817766,-0.188162926,-0.196109492,-0.480517382,-0.290402929,-0.261332547,-0.24850744,-0.289881268,-0.210944501,-0.19083035,-0.192134588,-0.275533818
-0.29368348,-0.244679077,-0.236850582,-0.272884188,-0.131653848,-0.195200412,-0.206552253,-0.356249406,-0.346080112,-0.283296048,-0.26704896,-0.192778339,-0.229271408,-0.177804547,-0.223070626,-0.191270872
-0.230658807,-0.260277803,-0.227554427,-0.184595844,-0.098955139,-0.193296904,-0.186508672,-0.645044493,-0.232258607,-0.23561171,-0.218753154,-0.211881364,-0.214936144,-0.184426455,-0.193462736,-0.381740007
-0.161678913,-0.233567268,-0.195630381,-0.335410479,-0.1062599,-0.200925866,-0.180953158,-0.464790505,-0.233339734,-0.221558443,-0.222500409,-0.205536362,-0.214222918,-0.187101075,-0.151254001,-0.246624143
-0.255337626,-0.233010826,-0.265195189,-0.267862169,-0.154517555,-0.213319697,-0.193168679,-0.363678938,-0.254421416,-0.288047445,-0.214124371,-0.24649358,-0.240036703,-0.177985032,-0.212056128,-0.201369072
-0.312467865,-0.238646197,-0.301792176,-0.258706284,-0.079412063,-0.201468357,-0.158635111,-0.565435142,-0.277389592,-0.298782603,-0.252018464,-0.306150527,-0.216832857,-0.220145192,-0.191197849,-0.280790077
-0.239300233,-0.255443584,-0.230714527,-0.167279553,-0.124177891,-0.197964542,-0.196605759,-0.533020092,-0.256209398,-0.243402478,-0.225292675,-0.156677407,-0.224066465,-0.172432035,-0.198822686,-0.329560078
-0.233882051,-0.216023045,-0.294991142,-0.351336693,-0.131331919,-0.205354106,-0.199318229,-0.505831442,-0.216097924,-0.224129231,-0.27270628,-0.333519021,-0.218273311,-0.184138432,-0.179248887,-0.321732477
-0.248076723,-0.256209881,-0.259545106,-0.184880349,-0.213359573,-0.212434633,-0.233382907,-0.335294979,-0.22497038,-0.273744676,-0.23662382,-0.231377186,-0.27767385,-0.221650098,-0.237092671,-0.222674565
-0.332681539,-0.289401031,-0.265048142,-0.153284313,-0.159173297,-0.216418736,-0.22191612,-0.518180947,-0.291483829,-0.260566743,-0.281388877,-0.224264965,-0.212202382,-0.215003058,-0.216152364,-0.372281092
-0.3046297,-0.281757447,-0.25835663,-0.220915097,-0.108851895,-0.184412017,-0.196962475,-0.440982098,-0.269406131,-0.306274322,-0.248938818,-0.289567516,-0.212835147,-0.171836923,-0.194090336,-0.233192973
-0.241840863,-0.253431968,-0.24519668,-0.253758602,-0.206465982,-0.233087059,-0.213787243,-0.292803091,-0.240651147,-0.233461726,-0.25172364,-0.251074943,-0.247959959,-0.166008543,-0.183817406,-0.197533455
-0.272909601,-0.250844488,-0.265093766,-0.092958979,-0.054072687,-0.154822085,-0.206403972,-0.484008703,-0.268712373,-0.261096319,-0.29247558,-0.16189417,-0.179781432,-0.182410723,-0.192336975,-0.240660635
-0.206365558,-0.254877528,-0.244878773,-0.401844533,-0.141543885,-0.202686704,-0.227621464,-0.430299229,-0.197684305,-0.22813766,-0.267991447,-0.363861466,-0.187428461,-0.160665938,-0.22356829,-0.310565159
-0.310021491,-0.271876713,-0.237974574,-0.150108489,-0.114714884,-0.215656304,-0.163790845,-0.462381314,-0.329562834,-0.329087689,-0.219446792,-0.188574839,-0.22974767,-0.210090575,-0.199791446,-0.251584029
-0.210679829,-0.251397375,-0.231846567,-0.286378018,-0.16018467,-0.241616908,-0.185284774,-0.39944602,-0.215343793,-0.266966922,-0.233841001,-0.267138947,-0.234323867,-0.200981802,-0.200150318,-0.252023765
-0.221519907,-0.253654932,-0.262274097,-0.153553653,-0.122412167,-0.215035426,-0.207090974,-0.397680445,-0.192198904,-0.230864162,-0.2624301,-0.222623735,-0.179604632,-0.1777102,-0.172787795,-0.270930335
-0.370017033,-0.294636004,-0.268700137,-0.069883374,-0.195477273,-0.212433521,-0.195577516,-0.371305189,-0.335673243,-0.290438267,-0.276172438,-0.161703963,-0.296229862,-0.192065745,-0.196859888,-0.179592012
-0.276101843,-0.264435798,-0.240949587,-0.120324166,-0.211481532,-0.209945459,-0.196997978,-0.418803479,-0.284162832,-0.290636391,-0.294610267,-0.171900797,-0.319087977,-0.205766331,-0.219734003,-0.211277347
-0.334393743,-0.253131321,-0.301973999,-0.100911972,-0.079457639,-0.192051798,-0.18559685,-0.494902174,-0.270317416,-0.238720101,-0.231687733,-0.206355322,-0.18642496,-0.214254798,-0.166098718,-0.278464869
-0.261771295,-0.229662032,-0.265867288,-0.279687537,-0.128455358,-0.228049742,-0.18529456,-0.485585584,-0.266113635,-0.219267845,-0.258946116,-0.244282562,-0.196303938,-0.227858703,-0.168372759,-0.325072022
-0.268451142,-0.246483882,-0.310692178,-0.244067741,-0.124520262,-0.19976114,-0.185187316,-0.436771303,-0.194424319,-0.274460618,-0.264499271,-0.356834223,-0.244518833,-0.176827535,-0.21494852,-0.20332395
-0.238334863,-0.246688914,-0.280763527,-0.185936693,-0.085227936,-0.218809382,-0.165243132,-0.475422996,-0.195907538,-0.207685679,-0.252196226,-0.244086304,-0.178149883,-0.182107343,-0.196083109,-0.280806174
-0.25054671,-0.243215623,-0.253316661,-0.305584016,-0.252756148,-0.189900997,-0.248832825,-0.291654672,-0.252647363,-0.205090144,-0.265929197,-0.280793085,-0.328054521,-0.215680401,-0.237755343,-0.158482265
-0.203235407,-0.260569558,-0.20455798,-0.397858718,-0.150884356,-0.218583173,-0.19740842,-0.374970682,-0.241791041,-0.27059875,-0.257446906,-0.307342424,-0.24276997,-0.229039418,-0.227036487,-0.212612867
-0.223794557,-0.236773888,-0.223328815,-0.385288058,-0.135563668,-0.232887637,-0.187681032,-0.405362069,-0.28144415,-0.288143746,-0.250721355,-0.274318447,-0.20705638,-0.196478812,-0.186383754,-0.259767281
-0.27535966,-0.270779834,-0.234844703,-0.261366515,-0.15402093,-0.214294428,-0.192138756,-0.453777018,-0.271077429,-0.280593205,-0.179776998,-0.250586602,-0.248205314,-0.215847546,-0.239311285,-0.275012008
-0.222198636,-0.22187337,-0.256149546,-0.332713846,-0.12708639,-0.219299932,-0.181181679,-0.447200649,-0.244770741,-0.24596884,-0.231217019,-0.286125585,-0.212320823,-0.175700444,-0.18067619,-0.262156695
-0.275494731,-0.197349269,-0.296571087,-0.255664543,-0.209606907,-0.218502964,-0.220420718,-0.269818723,-0.296630637,-0.182575579,-0.293791318,-0.229583736,-0.272033401,-0.201099756,-0.219000558,-0.170172609
-0.162911231,-0.259870827,-0.192019064,-0.332119645,-0.123346545,-0.189603722,-0.197985853,-0.459015231,-0.188238684,-0.217677167,-0.172133833,-0.251705877,-0.241970689,-0.21319965,-0.234408359,-0.248702115
-0.225478721,-0.197543107,-0.28638544,-0.360320812,-0.107156172,-0.209890834,-0.1849202,-0.518541366,-0.242777758,-0.238699328,-0.253059702,-0.297089272,-0.20592455,-0.184568651,-0.202541924,-0.311496068
-0.337789243,-0.296592551,-0.268259798,-0.176696524,-0.078451381,-0.18144187,-0.152175507,-0.562091045,-0.264564912,-0.248815573,-0.23733572,-0.27817491,-0.24030008,-0.229024136,-0.198783489,-0.273624314
-0.266119488,-0.243584196,-0.26103754,-0.216335401,-0.137209005,-0.192363161,-0.182973371,-0.427182278,-0.243188836,-0.233410916,-0.202879477,-0.260682181,-0.259345556,-0.197852553,-0.181984144,-0.188371018
-0.229556289,-0.235204922,-0.250517496,-0.227016188,-0.106816264,-0.193567755,-0.200268354,-0.46366298,-0.245125375,-0.236416962,-0.244710719,-0.202671891,-0.204152211,-0.222196831,-0.162285273,-0.281046527
-0.206099668,-0.258263394,-0.203196951,-0.376012068,-0.141119114,-0.182675731,-0.222182285,-0.446136978,-0.25014198,-0.241216882,-0.251412327,-0.292423666,-0.233538155,-0.216761471,-0.178691609,-0.261813004
-0.192280458,-0.212313449,-0.241251696,-0.358967057,-0.163677455,-0.189611697,-0.232799456,-0.450773014,-0.231499069,-0.236971427,-0.195666823,-0.265830059,-0.238450471,-0.210328086,-0.185890786,-0.278342302
-0.25603526,-0.238390163,-0.251928286,-0.248618004,-0.065886085,-0.200362779,-0.178027032,-0.479364564,-0.275622754,-0.231757489,-0.292967452,-0.241811392,-0.165925307,-0.19518673,-0.147238916,-0.275202117
-0.343584995,-0.29660767,-0.271106917,-0.058744495,-0.245469655,-0.259083867,-0.209092444,-0.344127217,-0.26461376,-0.231774556,-0.249463448,-0.163270716,-0.270230759,-0.196381852,-0.200225531,-0.262901223
-0.286277234,-0.254562636,-0.268853385,-0.189047845,-0.184897732,-0.220012425,-0.184476496,-0.473177635,-0.259443274,-0.246463692,-0.250963327,-0.243963251,-0.290201725,-0.20621359,-0.236820375,-0.272739871
-0.324874878,-0.27456606,-0.27171984,-0.279396075,-0.113687809,-0.192336704,-0.195818171,-0.518301264,-0.281471332,-0.264275801,-0.300181008,-0.322690809,-0.214557453,-0.197473558,-0.171124366,-0.32060606
-0.258502879,-0.235324939,-0.213243034,-0.293937226,-0.163904773,-0.197369727,-0.219919957,-0.378371724,-0.317126753,-0.241037135,-0.245883749,-0.194744478,-0.240489124,-0.175816197,-0.221405003,-0.228264972
-0.319772491,-0.293268888,-0.270280041,-0.188777379,-0.111326378,-0.191000557,-0.176966768,-0.489938912,-0.253425781,-0.278457091,-0.213956954,-0.275114471,-0.240171037,-0.219359666,-0.199959516,-0.260175821
-0.293488643,-0.250570532,-0.256904815,-0.242459266,-0.164880152,-0.204752246,-0.217186494,-0.39738321,-0.285577943,-0.213448365,-0.248521199,-0.25024703,-0.230256924,-0.182606447,-0.192319813,-0.255030567
-0.235717501,-0.284733694,-0.211496053,-0.228419031,-0.135761751,-0.179536766,-0.221822047,-0.379005122,-0.217979082,-0.260858824,-0.228623562,-0.256972785,-0.233297013,-0.225455091,-0.237745973,-0.217212679
-0.272097828,-0.241898116,-0.253033206,-0.184021203,-0.129351394,-0.201742097,-0.188036229,-0.508434289,-0.285967645,-0.256342123,-0.28413778,-0.183013904,-0.239621671,-0.189335832,-0.213197743,-0.288051608
-0.269601194,-0.271138936,-0.265280215,-0.172585785,-0.192630432,-0.212771279,-0.20826146,-0.367767405,-0.222485921,-0.243925521,-0.251428373,-0.266774451,-0.274641157,-0.239634126,-0.184546985,-0.220406361
-0.110696969,-0.204108786,-0.210567505,-0.403170466,-0.15955445,-0.197852959,-0.196097733,-0.407012513,-0.184506152,-0.252399617,-0.205393055,-0.25829009,-0.268265664,-0.201987423,-0.180542706,-0.189812302
-0.308154655,-0.271399637,-0.283140963,-0.150531483,-0.109835816,-0.197506923,-0.179944291,-0.528898518,-0.234951007,-0.243767955,-0.261869733,-0.291666791,-0.231106558,-0.169334242,-0.194211709,-0.293221224
-0.191717613,-0.283592121,-0.204515901,-0.40624544,-0.137280949,-0.222919939,-0.191025084,-0.460186763,-0.191468924,-0.286435994,-0.230588147,-0.354905642,-0.216441025,-0.215680068,-0.190005807,-0.296837718
-0.230183112,-0.241252574,-0.252879133,-0.286935011,-0.120073967,-0.182538227,-0.20468903,-0.391935072,-0.221634083,-0.220992237,-0.223961597,-0.273359345,-0.229439426,-0.214564861,-0.227437101,-0.201489298
-0.251043779,-0.250087212,-0.239826866,-0.303765547,-0.166840983,-0.194917569,-0.200198476,-0.460707578,-0.27020524,-0.256230478,-0.196704163,-0.215509341,-0.287893902,-0.192966931,-0.224985169,-0.22837454
-0.313875633,-0.262196093,-0.258224684,-0.178068048,-0.181200659,-0.208761013,-0.217295363,-0.483841403,-0.296470882,-0.222513117,-0.283982614,-0.205173473,-0.249913276,-0.143536467,-0.205531709,-0.306447898
-0.308254454,-0.263580033,-0.290350109,-0.197744872,-0.112853835,-0.162828624,-0.203111346,-0.419228074,-0.246264592,-0.251464842,-0.275990572,-0.276476893,-0.246447085,-0.202541289,-0.218137132,-0.180277012
-0.223066695,-0.204835059,-0.259094935,-0.243421403,-0.122097514,-0.187033592,-0.197286166,-0.526669655,-0.27003219,-0.248673841,-0.277552281,-0.195283734,-0.229999386,-0.174728831,-0.211062476,-0.301147097
-0.207138666,-0.241931064,-0.241493866,-0.346895947,-0.167540241,-0.206051866,-0.210955794,-0.373887548,-0.222123971,-0.257651244,-0.258651921,-0.324293526,-0.241097031,-0.189255906,-0.217790663,-0.207435147
-0.288275667,-0.272787163,-0.259899694,-0.183467732,-0.176629553,-0.23360293,-0.196677355,-0.33297823,-0.262402203,-0.264371712,-0.281485781,-0.226938802,-0.245315878,-0.189597599,-0.199408074,-0.216621907
-0.284278323,-0.247201541,-0.258617348,-0.239786587,-0.193624232,-0.198934092,-0.238071385,-0.308521014,-0.29391501,-0.279448838,-0.258727503,-0.22432545,-0.252967674,-0.189621992,-0.216603489,-0.207452812
-0.257439457,-0.23531434,-0.243275373,-0.267963514,-0.193157902,-0.200957997,-0.191008344,-0.429224801,-0.296625969,-0.256357782,-0.252353529,-0.196254707,-0.312676227,-0.195281554,-0.208735263,-0.205841489
-0.256794295,-0.265169027,-0.267194582,-0.129306419,-0.073667481,-0.174652901,-0.214548986,-0.487478761,-0.205454358,-0.231469118,-0.207177174,-0.221983277,-0.169942078,-0.193312928,-0.191730558,-0.298230652
-0.28331391,-0.269247792,-0.253849501,-0.163741828,-0.107906572,-0.190890185,-0.20751104,-0.409832667,-0.25453837,-0.24685463,-0.215432049,-0.219569429,-0.189862363,-0.178771776,-0.189088541,-0.24430841
-0.239493394,-0.253086461,-0.240341146,-0.265181032,-0.119486802,-0.175758644,-0.218355185,-0.365529563,-0.241277555,-0.286560039,-0.213728951,-0.259156746,-0.21578103,-0.186275843,-0.185138437,-0.186251176
-0.244614231,-0.239509186,-0.291473702,-0.239581588,-0.155024105,-0.19354273,-0.215678976,-0.415475001,-0.212097832,-0.231839875,-0.253203816,-0.26318161,-0.244059415,-0.191422161,-0.197984156,-0.227452917
-0.214596645,-0.173095484,-0.264880356,-0.404202567,-0.160088037,-0.187991585,-0.242371802,-0.399915031,-0.279317052,-0.204052613,-0.218611923,-0.244054747,-0.222782829,-0.194835038,-0.185985627,-0.28031314
-0.267387921,-0.239087796,-0.278634433,-0.18301602,-0.129612382,-0.187513198,-0.198722994,-0.432406158,-0.245445214,-0.278407231,-0.222478646,-0.256005718,-0.240561699,-0.193047991,-0.202595262,-0.226077121
-0.215367548,-0.240480335,-0.239708991,-0.257175489,-0.110283002,-0.196658935,-0.16347129,-0.496065088,-0.230542955,-0.270522956,-0.247238543,-0.253353113,-0.258406776,-0.17183548,-0.201658778,-0.232097081
-0.304287419,-0.239449128,-0.275408178,-0.202639553,-0.190456836,-0.225699114,-0.204502967,-0.485061918,-0.287719954,-0.254714102,-0.23091287,-0.216586834,-0.260851207,-0.214772463,-0.216272468,-0.317676622
-0.28239587,-0.231596011,-0.255230353,-0.365234744,-0.114974376,-0.186099526,-0.177014677,-0.420823455,-0.309263864,-0.292841305,-0.257040266,-0.315344913,-0.251846751,-0.19277268,-0.186851049,-0.187145624
-0.203735024,-0.227739915,-0.266042621,-0.246203345,-0.161358973,-0.19607636,-0.194240894,-0.445928734,-0.198602281,-0.28691331,-0.240804898,-0.270364965,-0.270440755,-0.186592918,-0.208678083,-0.227903233
